"Paris,L.M. Kit Carson
This Is Spinal Tap,Rob Reiner
1984,John Hurt
Top Secret!,Val Kilmer
Conan the Destroyer,Arnold Schwarzenegger
Children of the Corn,Peter Horton
The Last Starfighter,Lance Guest
Splash,Tom Hanks
Blood Simple,John Getz
The Natural,Robert Redford
Bachelor Party,Tom Hanks
Nausicaä of the Valley of the Wind,Sumi Shimamoto
Friday the 13th: the Final Chapter,Erich Anderson
Hardbodies,Grant Cramer
Against All Odds,Rachel Ward
Supergirl,Helen Slater
The Bounty,Mel Gibson
Firestarter,Drew Barrymore
C.H.U.D.,John Heard
The Woman in Red,Gene Wilder
Runaway,Tom Selleck
The Adventures of Buckaroo Banzai Across the 8th Dimension,Peter Weller
Star Trek III: The Search for Spock,William Shatner
Repo Man,Harry Dean Stanton
2010: the Year We Make Contact,Roy Scheider
The Killing Fields,Sam Waterston
The Cotton Club,Richard Gere
Starman,Jeff Bridges
Night of the Comet,Catherine Mary Stewart
Blame It on Rio,Michael Caine
Dreamscape,Dennis Quaid
Crimes of Passion,Kathleen Turner
The Philadelphia Experiment,Michael Paré
Places in the Heart,Sally Field
Bolero,Bo Derek
Cannonball Run II,Burt Reynolds
Stranger Than Paradise,John Lurie
The Ice Pirates,Robert Urich
A Passage to India,Judy Davis
Purple Rain,Prince
The Hotel New Hampshire,Rob Lowe
The Hit,Freddie Stuart
Sheena,Tanya Roberts
Missing in Action,Chuck Norris
"Greystoke: The Legend of Tarzan,Edgar Rice Burroughs
The Muppets Take Manhattan,Jim Henson
The Wild Life,Chris Penn
Falling in Love,Robert De Niro
Gwendoline,Tawny Kitaen
Breakin',Lucinda Dickey
Birdy,Matthew Modine
The Company of Wolves,Sarah Patterson
Ghoulies,Peter Liapis
Electric Dreams,Lenny von Dohlen
Cloak & Dagger,Henry Thomas
Racing with the Moon,Sean Penn
"Silent Night,Paul Caimi
The Pope of Greenwich Village,Eric Roberts
All of Me,Steve Martin
"Grandview,Ken Hixon
Where the Boys Are,Lisa Hartman
Reckless,Aidan Quinn
Tightrope,Clint Eastwood
Rhinestone,Sylvester Stallone
The Flamingo Kid,Matt Dillon
Up the Creek,Tim Matheson
Swing Shift,Goldie Hawn
Beat Street,Rae Dawn Chong
Joy of Sex,Cameron Dye
Breakin' 2: Electric Boogaloo,Lucinda Dickey
The Razor's Edge,Bill Murray
Tank,James Garner
Moscow on the Hudson,Robin Williams
Ninja III: The Domination,Shô Kosugi
The Warrior and the Sorceress,David Carradine
The Evil That Men Do,Charles Bronson
Firstborn,Teri Garr
Cut and Run,Lisa Blount
Teachers,Nick Nolte
Repentance,Avtandil Makharadze
The River,Mel Gibson
Razorback,Gregory Harrison
A Soldier's Story,Howard E. Rollins Jr.
Comfort and Joy,Bill Paterson
Meatballs Part II,Richard Mulligan
Lassiter,Tom Selleck
Irreconcilable Differences,Ryan O'Neal
City Heat,Clint Eastwood
Under the Volcano,Albert Finney
Iceman,Timothy Hutton
Flashpoint,Kris Kristofferson
The Little Drummer Girl,Diane Keaton
Lust in the Dust,Tab Hunter
Hot Moves,Michael Zorek
Oxford Blues,Rob Lowe
Thief of Hearts,Steven Bauer
The Brother from Another Planet,Joe Morton
No Small Affair,Jon Cryer
Broadway Danny Rose,Woody Allen
Best Defense,Dudley Moore
Micki + Maude,Dudley Moore
Protocol,Goldie Hawn
Exterminator 2,Robert Ginty
American Dreamer,JoBeth Williams
The Lonely Guy,Steve Martin
Choose Me,Geneviève Bujold
Making the Grade,Judd Nelson
Full Moon in Paris,Pascale Ogier
Unfaithfully Yours,Dudley Moore
Impulse,Tim Matheson
Mrs. Soffel,Diane Keaton
Garbo Talks,Anne Bancroft
Country,Jessica Lange
Cheech & Chong's the Corsican Brothers,Cheech Marin
Purple Hearts,Ken Wahl
Give My Regards to Broad Street,Paul McCartney
Songwriter,Willie Nelson
Finders Keepers,Michael O'Keefe
The Bostonians,Christopher Reeve
Body Rock,Lorenzo Lamas
The River Rat,Tommy Lee Jones
Just the Way You Are,Kristy McNichol
Until September,Karen Allen
Crackers,Donald Sutherland
Kaos,Margarita Lozano
Misunderstood,Gene Hackman
Mike's Murder,Debra Winger
The Buddy System,Richard Dreyfuss
A Private Function,Michael Palin
Scandalous,Robert Hays
"Oh,Andrew Bergman
The Bay Boy,Liv Ullmann
Heavenly Bodies,Cynthia Dale
Heartbreakers,Peter Coyote
Champions,John Hurt
A Sunday in the Country,Louis Ducreux
Mass Appeal,Jack Lemmon
Windy City,John Shea
Lovelines,Greg Bradford
The Bear,Gary Busey
Weekend Pass,Patrick Houser
Over the Brooklyn Bridge,Elliott Gould
Fast Talking,Steve Bisley
Lily in Love,Christopher Plummer
Winter Flight,Reece Dinsdale
Almost You,Brooke Adams
The Adventures of Pinocchio,Danielle Romeo
Blame It on the Night,Nick Mancuso
Petit Con,Guy Marchand
Weird Science,Anthony Michael Hall
The Goonies,Sean Astin
Back to the Future,Michael J. Fox
To Live and Die in L.A.,William Petersen
Clue,Eileen Brennan
The Breakfast Club,Emilio Estevez
Cocoon,Don Ameche
Rambo: First Blood Part II,Sylvester Stallone
Mask,Cher
Legend,Tom Cruise
The Return of the Living Dead,Clu Gulager
St. Elmo's Fire,Demi Moore
Brazil,Jonathan Pryce
Pale Rider,Clint Eastwood
Teen Wolf,Michael J. Fox
Real Genius,Val Kilmer
Commando,Arnold Schwarzenegger
Witness,Harrison Ford
The Color Purple,Danny Glover
Silverado,Kevin Kline
Rocky IV,Sylvester Stallone
Better Off Dead...,John Cusack
Ran,Tatsuya Nakadai
Ladyhawke,Matthew Broderick
A Room with a View,Maggie Smith
Red Sonja,Arnold Schwarzenegger
Fright Night,Chris Sarandon
Explorers,Ethan Hawke
Flesh+Blood,Rutger Hauer
Mad Max Beyond Thunderdome,Mel Gibson
After Hours,Griffin Dunne
A View to a Kill,Roger Moore
Fletch,Chevy Chase
Perfect,John Travolta
A Nightmare on Elm Street 2: Freddy's Revenge,Robert Englund
Summer Rental,John Candy
Lifeforce,Steve Railsback
Pee-wee's Big Adventure,Paul Reubens
Out of Africa,Meryl Streep
Day of the Dead,Lori Cardille
Just One of the Guys,Joyce Hyser
National Lampoon's European Vacation,Chevy Chase
Spies Like Us,Chevy Chase
House,William Katt
Police Academy 2: Their First Assignment,Steve Guttenberg
The Black Cauldron,Grant Bardsley
Friday the 13th: A New Beginning,Melanie Kinnaman
Runaway Train,Jon Voight
Re-Animator,Jeffrey Combs
Brewster's Millions,Richard Pryor
The Last Dragon,Taimak
The Legend of Billie Jean,Helen Slater
Desperately Seeking Susan,Rosanna Arquette
Girls Just Want to Have Fun,Biff Yeager
Vision Quest,Matthew Modine
Jagged Edge,Jeff Bridges
Enemy Mine,Dennis Quaid
Tuff Turf,James Spader
Volunteers,Tom Hanks
The Jewel of the Nile,Michael Douglas
Once Bitten,Lauren Hutton
Private Resort,Rob Morrow
Police Story,Jackie Chan
Into the Night,Jeff Goldblum
The Sure Thing,John Cusack
White Nights,Mikhail Baryshnikov
Mischief,Doug McKeon
Silver Bullet,Gary Busey
Kiss of the Spider Woman,William Hurt
My Beautiful Laundrette,Saeed Jaffrey
Young Sherlock Holmes,Nicholas Rowe
Smooth Talk,Treat Williams
Porky's Revenge,Dan Monahan
Year of the Dragon,Mickey Rourke
Prizzi's Honor,Jack Nicholson
The Quiet Earth,Bruno Lawrence
Tampopo,Japan
Creature,Stan Ivar
Secret Admirer,C. Thomas Howell
"No Retreat,See-Yuen Ng
D.A.R.Y.L.,Mary Beth Hurt
Mishima: A Life in Four Chapters,Ken Ogata
A Chorus Line,Michael Douglas
Cat's Eye,Drew Barrymore
Murphy's Romance,Sally Field
Heaven Help Us,Donald Sutherland
American Flyers,Kevin Costner
The Journey of Natty Gann,Meredith Salenger
Trouble in Mind,United States
Fandango,Kevin Costner
Gotcha!,Anthony Edwards
Death Wish 3,Charles Bronson
King Solomon's Mines,Richard Chamberlain
American Warrior,Michael Dudikoff
The Emerald Forest,Powers Boothe
The Holcroft Covenant,Michael Caine
The Falcon and the Snowman,Timothy Hutton
Transylvania 6-5000,Jeff Goldblum
Desert Hearts,Helen Shaver
The Heavenly Kid,Lewis Smith
The Purple Rose of Cairo,Mia Farrow
The Man with One Red Shoe,Tom Hanks
My Life as a Dog,Anton Glanzelius
My Science Project,John Stockwell
Seven Minutes in Heaven,Jennifer Connelly
Fraternity Vacation,Stephen Geoffreys
The New Kids,Shannon Presby
Tomboy,Betsy Russell
Invasion U.S.A.,Chuck Norris
Revolution,Al Pacino
Lost in America,Albert Brooks
Subway,Christopher Lambert
Moving Violations,John Murray
Nomads,Lesley-Anne Down
Fool for Love,Sam Shepard
Baby: Secret of the Lost Legend,William Katt
Code of Silence,Chuck Norris
Crimewave,Louise Lasser
Gymkata,Kurt Thomas
Sweet Dreams,Jessica Lange
The Slugger's Wife,Michael O'Keefe
Avenging Angel,Betsy Russell
Santa Claus: The Movie,Dudley Moore
That Was Then... This Is Now,Emilio Estevez
Agnes of God,Jane Fonda
Rustlers' Rhapsody,Tom Berenger
The Adventures of Mark Twain,James Whitmore
Stick,Burt Reynolds
The Bride,Sting
Morons from Outer Space,Mel Smith
Godzilla 1985,Raymond Burr
Plenty,Meryl Streep
King David,Richard Gere
The Trip to Bountiful,Geraldine Page
Missing in Action 2: The Beginning,Chuck Norris
The Protector,Jackie Chan
The Mean Season,Kurt Russell
Turk 182,Timothy Hutton
The Official Story,Norma Aleandro
Krush Groove,Sheila E.
He-Man and She-Ra: The Secret of the Sword,John Erwin
Warning Sign,Sam Waterston
Creator,Peter O'Toole
Taipei Story,Taiwan
Otac na sluzbenom putu,Moreno D'E Bartolli
The Aviator,Christopher Reeve
Starchaser: The Legend of Orin,Joe Colligan
Maxie,Glenn Close
DEFCON-4,Lenore Zann
The Care Bears Movie,Georgia Engel
Sylvester,Richard Farnsworth
Radioactive Dreams,John Stockwell
Twice in a Lifetime,Gene Hackman
Dance with a Stranger,Miranda Richardson
Water,Michael Caine
One Magic Christmas,Mary Steenburgen
Echo Park,Susan Dey
O.C. and Stiggs,United States
The Good Father,Anthony Hopkins
Fever Pitch,Ryan O'Neal
The Doctor and the Devils,Timothy Dalton
Head Office,Judge Reinhold
Eleni,Kate Nelligan
Dreamchild,Coral Browne
Defense of the Realm,Gabriel Byrne
Bad Medicine,Steve Guttenberg
Wetherby,Vanessa Redgrave
Compromising Positions,Susan Sarandon
Rainbow Brite and the Star Stealer,Bettina Bush
Alamo Bay,Amy Madigan
Three Men and a Cradle,Roland Giraud
In the Shadow of Kilimanjaro,John Rhys-Davies
Rappin',Mario Van Peebles
Bal na vodi,Gala Videnovic
Certain Fury,Tatum O'Neal
Bliss,Barry Otto
Code Name: Emerald,Ed Harris
Colonel Redl,Klaus Maria Brandauer
Thunder Run,Forrest Tucker
Marie,Sissy Spacek
Movers & Shakers,Walter Matthau
La Cage aux Folles 3: The Wedding,Michel Serrault
James Joyce's Women,Fionnula Flanagan
Turtle Diary,Glenda Jackson
Maccheroni,Jack Lemmon
My Man Adam,Raphael Sbarge
Sudden Death,Denise Coward
One Woman or Two,Gérard Depardieu
Joshua Then and Now,James Woods
On the Edge,Bruce Dern
The Girl in the Picture,John Gordon Sinclair
Here Come the Littles,Jimmy Keegan
Came a Hot Friday,Peter Bland
Wuthering Heights,Fabienne Babe
The Frog Prince,Jane Snowden
Lune de miel,Nathalie Baye
Tea in the Harem,Kader Boukhanef
Mr. Love,Barry Jackson
Death of an Angel,Bonnie Bedelia
Sincerely Charlotte,Isabelle Huppert
Top Gun,Tom Cruise
